"Story","Title","Result","Date","Stability","Duration (s)"
"As a user I want to see my homepage","As a user, I want to login with valid data","SUCCESS","2022-06-20T16:52:42.403+07:00[Asia/Bangkok]","0.0","9.48"
"As a user I want to create new Account","As a user, I want to create new account with valid data","SUCCESS","2022-06-20T16:52:51.991+07:00[Asia/Bangkok]","0.0","1.58"
